Country ,2012,2013,2014,2015,2016
Benin, 5.30 ,4.7,5,5,4.4
Burkina Faso , 5.30 ,4.7,5,5,4.4
Cabo Verde, 4.00 ,4.9,5.4,6.4,6.6
Cote D'Ivoire , 5.30 ,4.7,5,5,4.4
Gambia , 4.80 ,4.6,3.7,2.5,2.4
Ghana , 3.00 ,3.1,3,2.6,2.8
Guinea, 2.40 ,2.9,3.2,2.2,1.4
Guinea Bissau, 5.30 ,4.7,5,5,4.4
Liberia, 2.80 ,2.8,2.5,2.3,3.3
Mail, 5.30 ,4.7,5,5,4.4
Niger, 5.30 ,4.7,5,5,4.4
Nigeria , 8.50 ,8.9,6,8.2,5.8
Senegal, 5.30 ,4.7,5,5,5.79
Sierra Leone, 3.40 ,3.2,3.6,3.8,4.7
Togo, 5.30 ,4.7,5,5,4.4
