Country ,BD_2015,IR_2015,CBF_2015,GER_2015,TPD_2015,NERV_2015
Benin,-8,0.3,0,5,42.4,-9.3
Burkina Faso ,-2.03,0.9,0,5,32.75,9.33
Cabo Verde,-3.9,0.1,0,6.4,126.1,-9.3
Cote D'Ivoire ,2.9,1.2,0,5,40.8,-9.3
Gambia ,-6.3,6.8,41.5,2.5,101.1,4.9
Ghana ,-4.8,17.2,4.1,2.6,73.2,-15.7
Guinea,-6.9,8.2,0.26,2.2,43.3,2.2
Guinea Bissau,2.7,1.4,0,5,46.8,-9.3
Liberia,1.6,7.8,0,2.3,32,7.2
Mail,-1.8,1.5,0,5,30.8,9.3
Niger,-9,1,0,5,36,-9.3
Nigeria ,-1.5,9,13.1,8.2,12.6,-1.9
Senegal,-4.8,0.1,0,5,29.1,-9.3
Sierra Leone,-4.1,8.1,-0.7,3.8,29.1,-3.1
Togo,-6.3,1.8,0,5,76.8,-9.3
